model,mean_RMSE,std_RMSE,min_RMSE,max_RMSE
RandomForest,47.915243827632516,24.01972284114023,15.184746408779015,85.57929925042765
GradientBoosting,49.96596902207684,21.34575258056963,14.842412095079371,94.89592938109634
SVR,105.77225912165353,41.778683588307416,5.590109828344691,168.0281270583787
KNN,139.3965099863026,44.578730290172025,11.315893512020713,228.5872987810504
Elastic Net,178.1953193464707,25.676331187247147,129.13473225640064,242.9913010444978
BaselineDummy,222.03511836754333,56.55822261657403,69.44951667670207,303.77072493789547
